veracode	veracode,veeracode,veracod,veracodee,vercode,veraacode
octane	octane,octan,octine,octene,octean,oktane,oktan,oktene,oktine
kubernetes	kubernetes,kubernete,kubarnetes,kubernates,kuberneets,kubernets,cubernates
agile central	agile central,agilecentral,agile-central,agailcentral,agilcentral
urbancode	urbancode,urban code,urban-code
jira	jira,jiira,jera,jyra
Git	git
CDD	cdd
hp alm	hp alm,hpalm,hp-alm
fortify	fortify,fortyfi,fortyfy,fortefy,fortyfive
ansible	ansible,ansyble,ansybl,ansibl,unsible,onsible
svn	svn
devops	devops,dev ops,dev-ops,devop,dev op,dev-op,devOps
docker	docker,dockr,dokker,doker,doccer
